,pais,anio,inversion
0,AFG,2018,119.4351057
1,ALB,2018,1289.6890536982
2,DZA,2018,1474.5890692
3,AGO,2018,-6456.0764131
4,ARG,2018,11716.5835681
5,ARM,2018,266.8550488
6,ABW,2018,110.1756500559
7,AUS,2018,67568.1329814736
8,AUT,2018,5389.7691421067
9,AZE,2018,1403.0
10,BHS,2018,947.4300315
11,BHR,2018,1654.2553191489
12,BGD,2018,3613.3
13,BRB,2018,241.5964999
14,BLR,2018,1421.0
15,BEL,2018,27137.1750601106
16,BLZ,2018,118.27554695
17,BEN,2018,194.073683336
18,BMU,2018,95.4163715
19,BOL,2018,302.3687813
20,bosnia_herzegovina,2018,581.3830514458
21,BWA,2018,285.9550619291
22,BRA,2018,59802.4064898
23,VGB,2018,34389.7091232
24,brunei_darussalam,2018,517.303114568
25,BGR,2018,1142.612471598
26,BFA,2018,268.4149081386
27,BDI,2018,
28,CPV,2018,103.1895886379
29,KHM,2018,3212.633447
30,CMR,2018,761.5495497498
31,CAN,2018,37661.9247456047
32,CYM,2018,20680.8117761
33,CAF,2018,18.0035354551
34,TCD,2018,460.89050765
35,CHL,2018,13030.5193619
36,CHN,2018,138305.89
37,china_rae_de_hong_kong,2018,104245.7102762008
38,china_rae_de_macao,2018,2613.4384274922
39,china_provincia_de_taiwan,2018,7114.0
40,COL,2018,11298.6927739
41,congo,2018,4315.2509183882
42,COK,2018,11.5587222
43,CRI,2018,2487.1804005
44,cote_divoire,2018,620.3306458028
45,HRV,2018,1199.036387599
46,CWU,2018,0.0
47,CYP,2018,-413.4801654522
48,czechia,2018,11010.363960433
49,checoslovaquia,2018,
50,rep_dem_del_congo,2018,1616.7948841
51,DNK,2018,-2497.2211308394
52,DOM,2018,2535.3
53,ECU,2018,1389.1987631
54,EGY,2018,8141.3
55,SLV,2018,826.01
56,GNQ,2018,396.0777800117
57,EST,2018,1426.3191343124
58,FJI,2018,470.9731816919
59,FIN,2018,-2171.7770545082
60,FRA,2018,41832.9845578267
61,polinesia_frances,2018,5.9378413702
62,GAB,2018,1379.0708158589
63,GMB,2018,51.94
64,GEO,2018,1351.5297
65,DEU,2018,72022.4027247004
66,GHA,2018,2908.16
67,GRC,2018,3973.2651764584
68,GTM,2018,980.65193
69,GIN,2018,352.76
70,guinea_bissau,2018,20.5638182321
71,guayana,2018,1231.06
72,HTI,2018,105.0
73,HND,2018,961.3
74,HUN,2018,6460.3310740465
75,ISL,2018,-381.4675241156
76,IND,2018,42156.1933670502
77,IDN,2018,20563.47
78,IRN,2018,2373.0
79,IRQ,2018,-4885.1
80,IRL,2018,-12017.4025593666
81,ISR,2018,21514.605
82,ITA,2018,37681.9261855612
83,JAM,2018,774.6206031
84,JPN,2018,9962.7208448871
85,JOR,2018,954.9295774648
86,KAZ,2018,3897.7586346
87,KEN,2018,1139.4382243
88,KIR,2018,-1.1443647
89,rep_de_corea,2018,12182.6
90,KWT,2018,204.0169957974
91,KGZ,2018,144.0
92,lao,2018,1358.0195062
93,LVA,2018,963.6596391945
94,LBN,2018,2658.0038446
95,LBR,2018,129.13
96,LBY,2018,
97,LTU,2018,976.6383394822
98,LUX,2018,-83336.4825478405
99,MDG,2018,352.5516225792
100,MWI,2018,77.012306
101,MYS,2018,7618.3376991572
102,MLI,2018,467.2953914129
103,MLT,2018,4023.6167467748
104,MRT,2018,772.8904771887
105,MUS,2018,460.5113682408
106,mejico,2018,34097.227208
107,MNG,2018,2173.741
108,MNE,2018,489.8148206715
109,MAR,2018,3558.8788615338
110,MOZ,2018,2703.0312939
111,NAM,2018,208.5567579788
112,NLD,2018,99381.3302045887
113,antillas_holandesas,2018,
114,NCL,2018,345.2953720801
115,NZL,2018,2297.859620912
116,NIC,2018,837.6
117,NER,2018,466.0422733311
118,NGA,2018,775.2474
119,NOR,2018,225.7608361512
120,OMN,2018,6455.1365409623
121,PAK,2018,1737.0
122,PAN,2018,4750.5034767
123,PNG,2018,305.6634642624
124,PRY,2018,164.3012466
125,PER,2018,6761.1857889
126,PHL,2018,9948.598824
127,POL,2018,15996.269918158
128,PRT,2018,7181.3826600313
129,katar,2018,-2186.2637363
130,republica_de_moldova,2018,296.99
131,ROU,2018,6218.911348037
132,federacion_rusa,2018,13227.64206
133,RWA,2018,381.9115985
134,santo_tome_principe,2018,23.203612
135,SAU,2018,4247.1190934
136,SEN,2018,847.8415753981
137,SRB,2018,4411.8794125914
138,serbia_montenegro,2018,
139,SYC,2018,-66.125331
140,SLE,2018,250.0
141,SGP,2018,73561.0249384287
142,SMX,2018,-47.9150834637
143,SVK,2018,1675.0848941628
144,SVN,2018,1384.17299521
145,SLB,2018,24.838211356
146,ZAF,2018,5449.5540137104
147,espanna,2018,58062.8551723486
148,LKA,2018,1614.0440092
149,estado_de_palestina,2018,251.6283945
150,SUR,2018,119.19076
151,SWZ,2018,36.4744492772
152,SWE,2018,5269.1291522203
153,CHE,2018,-101147.6685452145
154,THA,2018,13751.7620619
155,tfyr_de_macedonia,2018,725.2026713275
156,TLS,2018,47.926
157,TON,2018,15.0474744
158,trinidad_tobago,2018,-700.1857012
159,TUN,2018,1035.9417379113
160,TUR,2018,
161,UGA,2018,1055.3533526
162,UKR,2018,4732.0
163,emiratos_arabes_unidos,2018,10385.286
164,GBR,2018,87837.4772524722
165,estados_unidos,2018,203234.0
166,URY,2018,-11.1216036
167,VEN,2018,886.0
168,VNM,2018,15500.0
169,YEM,2018,-282.0983333
170,ZMB,2018,408.4384917
171,ZWE,2018,745.0079428
172,AFG,2019,23.4045536
173,ALB,2019,1287.9669889262
174,DZA,2019,1381.81231
175,AGO,2019,-4098.4787476
176,ARG,2019,6649.187838
177,ARM,2019,100.2872144
178,ABW,2019,-136.116582905
179,AUS,2019,38886.1507104241
180,AUT,2019,4905.4797083992
181,AZE,2019,1503.9
182,BHS,2019,610.9571738
183,BHR,2019,1548.1382978723
184,BGD,2019,2873.95
185,BRB,2019,215.3701286
186,BLR,2019,1293.1
187,BEL,2019,11860.8358446885
188,BLZ,2019,93.9102417
189,BEN,2019,218.2078716252
190,BMU,2019,4.9853965
191,BOL,2019,-216.6368431
192,bosnia_herzegovina,2019,457.5139829327
193,BWA,2019,93.6071271335
194,BRA,2019,65386.0413218
195,VGB,2019,39103.3616106
196,brunei_darussalam,2019,374.573290652
197,BGR,2019,1835.2701942065
198,BFA,2019,162.9695429534
199,BDI,2019,1.0449574151
200,CPV,2019,123.2313303446
201,KHM,2019,3663.0329995
202,CMR,2019,1026.9153278401
203,CAN,2019,50543.6793832949
204,CYM,2019,28165.1289833
205,CAF,2019,25.601157287
206,TCD,2019,566.6389479523
207,CHL,2019,14403.4339009
208,CHN,2019,141224.62
209,china_rae_de_hong_kong,2019,73714.027343577
210,china_rae_de_macao,2019,6682.634344716
211,china_provincia_de_taiwan,2019,8240.0
212,COL,2019,13989.15403
213,congo,2019,3366.0850121848
214,COK,2019,8.5691089
215,CRI,2019,2812.2612876
216,cote_divoire,2019,935.684596869
217,HRV,2019,401.4847690729
218,CWU,2019,203.2304536313
219,CYP,2019,52329.652888469
220,czechia,2019,10108.4069717581
221,checoslovaquia,2019,
222,rep_dem_del_congo,2019,1488.0535699
223,DNK,2019,27029.3773981561
224,DOM,2019,3021.0
225,ECU,2019,979.0204962
226,EGY,2019,9010.0
227,SLV,2019,636.16817
228,GNQ,2019,452.2871120704
229,EST,2019,3082.948026142
230,FJI,2019,321.006409482
231,FIN,2019,13456.0874802413
232,FRA,2019,13100.0944836758
233,polinesia_frances,2019,12.731152748
234,GAB,2019,1553.1368754115
235,GMB,2019,71.0833058
236,GEO,2019,1352.18174
237,DEU,2019,52683.664399357
238,GHA,2019,3292.07
239,GRC,2019,5019.2067714794
240,GTM,2019,976.14102
241,GIN,2019,44.4
242,guinea_bissau,2019,71.65868036
243,guayana,2019,1695.29322
244,HTI,2019,75.0
245,HND,2019,498.1
246,HUN,2019,4256.1761074795
247,ISL,2019,-224.9060072325
248,IND,2019,50558.3310017797
249,IDN,2019,23883.25
250,IRN,2019,1508.0
251,IRQ,2019,-3508.2
252,IRL,2019,149433.097945092
253,ISR,2019,17362.681
254,ITA,2019,18145.5675513503
255,JAM,2019,665.415555
256,JPN,2019,13755.3732060788
257,JOR,2019,729.7183098592
258,KAZ,2019,3284.1810607
259,KEN,2019,1098.3759473
260,KIR,2019,-0.5582805
261,rep_de_corea,2019,9634.3
262,KWT,2019,350.7254974293
263,KGZ,2019,404.0
264,lao,2019,755.5241242
265,LVA,2019,924.6862112046
266,LBN,2019,1905.3627395
267,LBR,2019,86.68
268,LBY,2019,
269,LTU,2019,3021.6416874516
270,LUX,2019,163717.5968009887
271,MDG,2019,474.3114254
272,MWI,2019,55.2278316
273,MYS,2019,7812.7771595208
274,MLI,2019,720.6388353038
275,MLT,2019,3778.1053448206
276,MRT,2019,886.9163586447
277,MUS,2019,444.0777608829
278,mejico,2019,34567.04635
279,MNG,2019,2443.34
280,MNE,2019,416.4472570628
281,MAR,2019,1719.9614519008
282,MOZ,2019,2211.654426
283,NAM,2019,-178.9256710885
284,NLD,2019,-1140.2647781873
285,antillas_holandesas,2019,
286,NCL,2019,723.4803567883
287,NZL,2019,4273.0791402454
288,NIC,2019,503.0
289,NER,2019,717.1476396195
290,NGA,2019,2305.0998117
291,NOR,2019,16714.7727272727
292,OMN,2019,4236.6710013004
293,PAK,2019,2234.0
294,PAN,2019,3920.9840219
295,PNG,2019,335.1767566888
296,PRY,2019,331.7178381
297,PER,2019,6241.0556564
298,PHL,2019,8671.36587
299,POL,2019,13510.1676705193
300,PRT,2019,12251.4775436707
301,katar,2019,-2812.6373626
302,republica_de_moldova,2019,508.62
303,ROU,2019,5791.0433057644
304,federacion_rusa,2019,32075.62193
305,RWA,2019,353.8444861
306,santo_tome_principe,2019,24.1917995
307,SAU,2019,4562.573671
308,SEN,2019,1065.4628196927
309,SRB,2019,4554.8498112565
310,serbia_montenegro,2019,
311,SYC,2019,30.3973594
312,SLE,2019,342.0
313,SGP,2019,97483.5026441219
314,SMX,2019,73.8683381006
315,SVK,2019,2510.6377021212
316,SVN,2019,1462.9139146244
317,SLB,2019,32.8086159259
318,ZAF,2019,5124.9869622486
319,espanna,2019,17842.3689878604
320,LKA,2019,743.4662315
321,estado_de_palestina,2019,131.8799842
322,SUR,2019,-7.7846764
323,SWZ,2019,130.2214963559
324,SWE,2019,8760.8313036451
325,CHE,2019,-83217.6163947393
326,THA,2019,5518.718141
327,tfyr_de_macedonia,2019,446.4021523023
328,TLS,2019,-106.2797498
329,TON,2019,1.742414
330,trinidad_tobago,2019,183.9727653
331,TUN,2019,844.7969335132
332,TUR,2019,
333,UGA,2019,1273.609177
334,UKR,2019,6017.0
335,emiratos_arabes_unidos,2019,17874.6594005
336,GBR,2019,53918.2712251658
337,estados_unidos,2019,229929.0
338,URY,2019,2017.6810442
339,VEN,2019,-1278.0
340,VNM,2019,16120.0
341,YEM,2019,-370.9827777
342,ZMB,2019,859.8209279
343,ZWE,2019,280.0
344,AFG,2020,12.970148
345,ALB,2020,1108.1591673843
346,DZA,2020,1142.64069
347,AGO,2020,-1866.4681131
348,ARG,2020,4722.6488131
349,ARM,2020,58.5827501
350,ABW,2020,137.183472067
351,AUS,2020,13582.8255057344
352,AUT,2020,-9351.4194625736
353,AZE,2020,507.0
354,BHS,2020,896.7839201
355,BHR,2020,1021.3829787234
356,BGD,2020,2563.58
357,BRB,2020,262.1
358,BLR,2020,1398.4
359,BEL,2020,6805.2075028612
360,BLZ,2020,76.2028135
361,BEN,2020,174.0199519567
362,BMU,2020,111.935757
363,BOL,2020,-1129.4872713
364,bosnia_herzegovina,2020,429.046999862
365,BWA,2020,31.8071952391
366,BRA,2020,28318.4513242
367,VGB,2020,39619.63521
368,brunei_darussalam,2020,577.4431163808
369,BGR,2020,3397.0831602525
370,BFA,2020,-102.2436256073
371,BDI,2020,8.7221191164
372,CPV,2020,67.8999101541
373,KHM,2020,3624.6449901
374,CMR,2020,675.1869937
375,CAN,2020,26884.3301249
376,CYM,2020,23621.0494316
377,CAF,2020,1.7373598234
378,TCD,2020,557.6925033123
379,CHL,2020,10832.5614959
380,CHN,2020,149342.26
381,china_rae_de_hong_kong,2020,134709.8520738664
382,china_rae_de_macao,2020,-6980.4189778475
383,china_provincia_de_taiwan,2020,6053.0
384,COL,2020,7458.62498
385,congo,2020,4015.5314509042
386,COK,2020,5.3165523
387,CRI,2020,1762.6553921
